content_hash_id,client_hash_id,imp_prior90,clk_prior90,pos_prior90,ctr_prior90,decay_prob,y_true,reason_codes,recommended_action
content_0cf7684dbe872d01,client_23a62021009f63c4,57146.0,25.0,44.55338307296667,0.0004374759388233647,0.9877220581335401,1,model_decline_risk,REFRESH_BODY
content_8eb386d15bade863,client_23a62021009f63c4,70244.0,21.0,38.521912194615766,0.0002989579181140026,0.9865547861046753,1,model_decline_risk,REFRESH_BODY
content_497f88ac02fd32d9,client_23a62021009f63c4,70659.0,22.0,40.866892685440945,0.00031135453374658573,0.9864384315310473,1,model_decline_risk,REFRESH_BODY
content_19412009bb676d79,client_e547b89c05043229,40312.0,22.0,42.66209883152829,0.0005457432030164715,0.9861298425469317,1,model_decline_risk,REFRESH_BODY
content_bafd0eaf1ca2e8b9,client_23a62021009f63c4,36194.0,28.0,28.489448868917417,0.0007736088854506272,0.9860492338729889,1,model_decline_risk,REFRESH_BODY
content_bd2006f473a48221,client_23a62021009f63c4,54148.0,25.0,46.30380675018413,0.0004616975696239935,0.9859323973841476,1,model_decline_risk,REFRESH_BODY
content_5be95799c57996b3,client_23a62021009f63c4,39631.0,29.0,26.074108224802906,0.0007317503974161641,0.9857999749161954,1,model_decline_risk,REFRESH_BODY
content_f06572a7dd29e56f,client_23a62021009f63c4,57148.0,28.0,38.95266873558556,0.0004899559039686428,0.9857672042252732,1,model_decline_risk,REFRESH_BODY
content_394a37814ff57783,client_23a62021009f63c4,56342.0,23.0,40.966696397026965,0.00040822122040396153,0.9857487763586336,1,model_decline_risk,REFRESH_BODY
content_e22d7d712577870a,client_23a62021009f63c4,74552.0,27.0,35.83147305374342,0.00036216332224487606,0.9856714506157586,0,model_decline_risk,REFRESH_BODY
content_b584a8e78c254262,client_23a62021009f63c4,83891.0,56.0,40.71946355697361,0.0006675328700337343,0.9856425122243548,1,model_decline_risk,REFRESH_BODY
content_3f9e8f387f3fe7e7,client_23a62021009f63c4,68484.0,30.0,40.12211907308916,0.0004380585246188891,0.985590104025762,1,model_decline_risk,REFRESH_BODY
content_a58261e8370a492a,client_23a62021009f63c4,58557.0,31.0,38.131857220812584,0.0005293987055347781,0.9854381524787604,1,model_decline_risk,REFRESH_BODY
content_a458c7d98801b833,client_23a62021009f63c4,56759.0,29.0,37.848995133285264,0.0005109321869659438,0.9854189104150806,1,model_decline_risk,REFRESH_BODY
content_dfafd087b1c57fe8,client_23a62021009f63c4,68825.0,22.0,27.94076872592321,0.00031965128950236106,0.985357987983324,1,model_decline_risk,REFRESH_BODY
content_3020ac1ba06614ab,client_23a62021009f63c4,70815.0,23.0,28.45429410598254,0.00032478994563298736,0.985357987983324,1,model_decline_risk,REFRESH_BODY
content_ae7e541273915d45,client_23a62021009f63c4,57893.0,27.0,42.35256733591609,0.00046637762769246715,0.985345640064105,1,model_decline_risk,REFRESH_BODY
content_3ecbd0e3911c0a35,client_23a62021009f63c4,65826.0,45.0,39.91138597359426,0.0006836204539239814,0.9852902378525168,1,model_decline_risk,REFRESH_BODY
content_a9bd755980df01cc,client_23a62021009f63c4,36505.0,27.0,34.192326669752546,0.0007396247089439803,0.9849862765256945,1,model_decline_risk,REFRESH_BODY
content_1c0f6b3ef587bc9c,client_23a62021009f63c4,36722.0,27.0,30.495665512075497,0.0007352540711290234,0.9849862765256945,1,model_decline_risk,REFRESH_BODY
